molecule,canonical_smiles,min_bde_kcal_mol,homo_ev,oh_addition_sites,h_abstraction_sites,aromatic_atom_fraction,hetero_atom_fraction,pka_nearest_neutral,logp,observed_log_k_deg
acetaminophen,CC(=O)Nc1ccc(O)cc1,83.4,-5.62,6,8,0.46,0.21,9.5,0.46,0.78
diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,88.9,-5.74,12,10,0.55,0.18,4.1,4.51,0.31
sulfamethoxazole,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,86.1,-5.91,9,9,0.44,0.31,5.6,0.89,0.52
carbamazepine,NC(=O)N1c2ccccc2C=Cc2ccccc21,82.7,-5.43,14,9,0.68,0.15,13.9,2.45,0.91
naproxen,COc1ccc2cc(C(C)C(=O)O)ccc2c1,84.9,-5.58,11,11,0.61,0.16,4.2,3.18,0.63
ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,90.5,-5.96,6,16,0.38,0.12,4.4,3.97,0.24
atenolol,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,82.1,-5.35,7,19,0.29,0.29,9.6,0.16,0.86
propranolol,CC(C)NCC(O)COc1cccc2ccccc12,81.6,-5.30,10,20,0.48,0.17,9.5,3.48,0.95
metoprolol,COCCc1ccc(OCC(O)CNC(C)C)cc1,82.9,-5.47,6,22,0.28,0.21,9.7,1.88,0.81
venlafaxine,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,83.2,-5.39,6,24,0.25,0.16,9.4,3.28,0.84
trimethoprim,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,85.5,-5.68,8,18,0.36,0.33,7.1,0.91,0.60
ciprofloxacin,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,87.4,-5.88,10,13,0.39,0.30,6.1,0.28,0.42
lidocaine,CCN(CC)CC(=O)Nc1c(C)cccc1C,84.0,-5.52,6,23,0.30,0.16,7.9,2.44,0.73
benzotriazole,c1ccc2[nH]nnc2c1,91.2,-6.05,6,4,0.67,0.25,8.4,1.34,0.18
gemfibrozil,CC(C)(C)c1ccc(OCCCC(C)(C)C(=O)O)cc1,89.6,-5.86,6,23,0.27,0.13,4.7,4.77,0.27
warfarin,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,80.9,-5.20,14,13,0.60,0.20,5.1,2.70,1.02
